rank,name,score,temperature,address,phone,website,rating,reviews,price_level,google_maps_url,types,city,category
1,One Way,98,HOT,"2000 sakan, Kénitra 14000, Maroc",07 11 06 95 96,,4.6,140,,https://maps.google.com/?cid=17279812523432811778,"establishment, food, point_of_interest, restaurant",kénitra,"restaurant, transport"
2,Natsakhar lik livraison à domicile,95,HOT,"Lot 289 Bloc K Ouled Oujih Bureau Rue N°1, Kenitra 14000, Maroc",06 08 93 19 20,,4.5,121,,https://maps.google.com/?cid=4784463249511655520,"establishment, food, meal_delivery, point_of_interest",kénitra,"restaurant, transport"
3,La Fabrique,95,HOT,"Le Vallon, Kénitra, Maroc",06 69 18 21 81,,4.7,505,,https://maps.google.com/?cid=14684951787857075237,"establishment, food, point_of_interest, restaurant",kénitra,"restaurant, transport"
4,Villa Port Lyautey,95,HOT,"476 Av. Mohamed V, Kénitra 14000, Maroc",06 28 08 44 79,,4,377,,https://maps.google.com/?cid=2684349900379163845,"cafe, establishment, food, point_of_interest, restaurant, store",kénitra,"restaurant, transport"
5,Le Continental Mehdia,95,HOT,"1er, Residence la Perle de Mehdia, Entrée Corniche, Rte de Mehdia, Kénitra 14110, Maroc",06 66 51 07 08,,4.7,5138,,https://maps.google.com/?cid=14668302441214732645,"establishment, food, point_of_interest, restaurant",kénitra,"restaurant, transport"
6,Nuija Dar Tajine,93,HOT,"Bd C, Kénitra, Maroc",06 07 59 59 07,,4.5,139,,https://maps.google.com/?cid=5556500007488472699,"establishment, food, point_of_interest, restaurant",kénitra,"restaurant, transport"
7,Miko_House.Kénitra,92,HOT,"https://maps.app.goo.gl/2S3BLHPDECY9RAqs7, Kénitra 14000, Maroc",06 63 34 92 54,,4.8,69,,https://maps.google.com/?cid=3396521571312029723,"establishment, food, point_of_interest, restaurant",kénitra,"restaurant, transport"
8,Resto Santé,91,HOT,"352 Avenue E, Kénitra, Maroc",05 37 32 23 96,,4.3,77,,https://maps.google.com/?cid=18409902925396462705,"establishment, food, point_of_interest, restaurant",kénitra,"restaurant, transport"
9,Quick Kénitra,87,HOT,"553 Av. Mohamed V, Kénitra 14000, Maroc",05 37 39 50 51,https://www.quick.ma/,4.1,165,,https://maps.google.com/?cid=8681744044566406154,"establishment, food, point_of_interest, restaurant",kénitra,"restaurant, transport"
10,B&B Park,86,HOT,"Av. Hassan II, Kénitra, Maroc",05 37 37 06 24,https://bandbpark.ma/,4.2,1428,2,https://maps.google.com/?cid=7046529347143226412,"establishment, food, point_of_interest, restaurant",kénitra,"restaurant, transport"
11,Le Relais de l'Atlantique : Café & Restaurant,85,HOT,"1er Mehdia plage, residence de l'Atlantique 1, Kénitra 14000, Maroc",08 08 63 48 31,http://www.relaisdelatlantique.com/,4.7,422,,https://maps.google.com/?cid=11183498759706066612,"cafe, establishment, food, point_of_interest, restaurant",kénitra,"restaurant, transport"
12,Choose,85,HOT,"Angle Avenue Med Diouri et Mbark Doukkali, Résidence Marina, Bloc D magasin 138, Kénitra 14000, Maroc",06 50 97 88 63,https://www.instagram.com/choose.morocco/,4.4,203,,https://maps.google.com/?cid=4215051363451821077,"establishment, food, point_of_interest, restaurant",kénitra,"restaurant, transport"
13,Tendy's,84,HOT,"Ave des FAR, Kenitra 14000, Maroc",06 64 97 08 02,http://www.tendys.ma/,4.4,264,,https://maps.google.com/?cid=1776020283641409020,"establishment, food, point_of_interest, restaurant",kénitra,"restaurant, transport"
14,Café Restaurant Tres Forcas Officiel,84,HOT,"Résidence Aymane, 465 Av. Mohamed V, Kénitra 14000, Maroc",06 23 21 28 34,https://www.facebook.com/CafeRestaurantTresForcasOfficiel/,4.1,384,2,https://maps.google.com/?cid=5878290944390300219,"cafe, establishment, food, point_of_interest, restaurant",kénitra,"restaurant, transport"
15,Merzouga restaurant,83,HOT,"1 ére, Rte de Mehdia, Kenitra, Maroc",05 37 38 89 71,http://www.merzougarestaurant.com/,4,2630,2,https://maps.google.com/?cid=16215019738260312875,"establishment, food, point_of_interest, restaurant",kénitra,"restaurant, transport"
16,Restaurant La Pausa,82,HOT,"39 angle boulevard mly abdelaziz & Mly abderrahmane magasin 10, Kenitra 14000, Maroc",08 08 54 17 28,http://www.lapausakenitra.com/,4,227,,https://maps.google.com/?cid=10197836966298116449,"establishment, food, point_of_interest, restaurant",kénitra,"restaurant, transport"
17,Ryad Naji,80,HOT,"2 Rue Sebou, Kénitra, Maroc",05 37 36 45 75,http://ryadnaji.ma/,3.9,596,2,https://maps.google.com/?cid=11912943116142759877,"establishment, food, point_of_interest, restaurant",kénitra,"restaurant, transport"
18,Livreur kenitra trè fast,79,WARM,"رقم 76, شارع مولاي عبد الرحمان, Kénitra 14020, Maroc",06 07 92 84 81,,4.6,44,,https://maps.google.com/?cid=2396580518879180397,"establishment, food, meal_delivery, point_of_interest",kénitra,"restaurant, transport"
19,Kenitra,75,WARM,"1er étage، Rés. Nour، 45 Lot. Soufiane، الدار البيضاء 20250, Maroc",06 08 81 32 86,,4.7,6,,https://maps.google.com/?cid=9817817034830318939,"establishment, food, point_of_interest, restaurant",kénitra,"restaurant, transport"
20,Le Plat Gourmand,64,COLD,"Av. Mohamed Diouri, Kénitra 14000, Maroc",05 30 17 40 35,https://www.instagram.com/le.platgourmand/,3.8,33,,https://maps.google.com/?cid=1009573053367494132,"establishment, food, point_of_interest, restaurant",kénitra,"restaurant, transport"
